# Expected column widths from Prettier's own getStringWidth, not from this repository.
#
# Generated by running prettier 3.9.6's src/utilities/get-string-width.js verbatim
# (sha256 37f49dbe5815f5b191c246499e38887b2869eae3c12b4df31c7b5c6bba6802cf) against
# emoji-regex 10.6.0, get-east-asian-width 1.6.0 and narrow-emojis 0.0.3 under Node.
# Because the file is an oracle dump, a line may only be changed by regenerating it
# against a Prettier release - never by writing down what this package currently returns.
#
# Coverage: the worked examples from the #185 width spec, every narrow-emojis code point
# bare and again with U+FE0F, and one representative sequence per emoji-test.txt subgroup
# per qualification status (Unicode emoji 17.0, 2025-08-04). The same generator run over
# every emoji-test.txt sequence, each also embedded in ASCII, doubled, and placed beside
# wide and combining neighbours, produced 20900 cases that all agree with displayWidth;
# that full sweep is development evidence and is deliberately not committed at 860 KiB.
#
# Code points are hex, space separated; an empty field is the empty string.
# width	code points (hex)	description
2	1F6E0 FE0F	narrow-list U+1F6E0 + VS16
1	1F6E1	narrow-list U+1F6E1 bare
2	1F6E1 FE0F	narrow-list U+1F6E1 + VS16
1	1F6E2	narrow-list U+1F6E2 bare
2	1F6E2 FE0F	narrow-list U+1F6E2 + VS16
1	1F6E3	narrow-list U+1F6E3 bare
2	1F6E3 FE0F	narrow-list U+1F6E3 + VS16
1	1F6E4	narrow-list U+1F6E4 bare
2	1F6E4 FE0F	narrow-list U+1F6E4 + VS16
1	1F6E5	narrow-list U+1F6E5 bare
2	1F6E5 FE0F	narrow-list U+1F6E5 + VS16
1	1F6E9	narrow-list U+1F6E9 bare
2	1F6E9 FE0F	narrow-list U+1F6E9 + VS16
1	1F6F0	narrow-list U+1F6F0 bare
2	1F6F0 FE0F	narrow-list U+1F6F0 + VS16
1	1F6F3	narrow-list U+1F6F3 bare
2	1F6F3 FE0F	narrow-list U+1F6F3 + VS16
2	1F600	emoji-test face-smiling / fully-qualified
2	1F970	emoji-test face-affection / fully-qualified
2	1F60B	emoji-test face-tongue / fully-qualified
2	1F917	emoji-test face-hand / fully-qualified
2	1F910	emoji-test face-neutral-skeptical / fully-qualified
2	1F636 200D 1F32B	emoji-test face-neutral-skeptical / minimally-qualified
2	1F60C	emoji-test face-sleepy / fully-qualified
2	1F637	emoji-test face-unwell / fully-qualified
2	1F920	emoji-test face-hat / fully-qualified
2	1F60E	emoji-test face-glasses / fully-qualified
2	1F615	emoji-test face-concerned / fully-qualified
2	1F624	emoji-test face-negative / fully-qualified
2	1F4A9	emoji-test face-costume / fully-qualified
2	1F63A	emoji-test cat-face / fully-qualified
2	1F648	emoji-test monkey-face / fully-qualified
2	1F48C	emoji-test heart / fully-qualified
